0,6,23
0,5,24
0,6,25
0,5,35
0,4,37
1,6,27
1,6,21
1,5,36
1,7,39
1,5,47
2,7,34
2,6,33
2,7,48
2,7,40
2,6,32
3,7,26
3,9,29
3,9,45
3,9,26
3,8,21
4,10,41
4,9,30
4,9,32
4,8,20
4,8,29
5,10,38
5,9,28
5,11,36
5,10,48
5,9,38
5,10,44
6,12,47
6,12,43
6,11,38
6,12,24
6,12,45
6,10,20
7,12,27
7,11,23
7,12,39
7,13,42
7,13,20
7,13,27
8,14,32
8,14,23
8,14,39
8,13,42
8,14,38
9,14,44
9,14,23
9,13,45
9,15,32
9,13,28
9,15,22
10,14,43
10,14,48
10,15,35
10,14,26
10,15,44
10,15,26
11,16,28
11,17,33
11,16,24
11,16,29
11,16,46
12,18,35
12,16,45
12,16,40
12,16,34
12,16,39
12,18,42
13,18,35
13,19,22
13,18,30
13,17,26
13,18,42
14,20,32
14,20,31
14,18,29
14,20,29
15,20,23
15,21,20
15,19,35
15,19,41
16,22,33
16,21,33
16,21,27
16,21,32
16,21,31
17,21,47
17,21,47
17,21,20
17,22,39
18,23,23
18,23,33
18,23,40
18,24,22
18,24,40
18,22,33
19,23,32
19,23,46
19,24,32
19,25,24
19,25,25
19,24,35
20,26,45
20,24,30
20,25,28
20,25,22
20,26,42
20,24,31
21,27,24
21,25,24
21,25,25
21,26,37
21,26,40
21,26,49
22,27,40
22,26,29
22,26,20
22,26,22
22,28,30
23,29,47
23,27,47
23,27,42
23,28,22
23,29,46
24,30,26
24,30,20
24,30,27
24,28,49
24,30,30
24,30,25
25,30,37
25,29,44
25,30,22
25,31,37
25,29,26
25,29,37
26,30,25
26,30,26
26,32,49
26,30,36
26,30,46
26,31,45
27,33,44
27,33,48
27,31,33
27,32,41
27,31,34
28,34,35
28,34,22
28,34,38
28,32,36
28,32,35
29,35,39
29,35,43
29,35,38
29,33,28
29,35,41
29,35,39
30,35,26
30,35,38
30,35,23
30,36,21
31,35,32
31,37,45
31,35,23
31,35,42
31,37,31
32,37,43
32,38,40
32,38,33
32,38,43
33,38,25
33,37,42
33,37,24
33,37,47
33,39,37
33,38,28
34,38,24
34,39,29
34,38,45
34,40,44
34,39,28
35,40,49
35,40,37
35,39,40
35,41,22
35,41,23
36,41,33
36,41,32
36,42,41
36,40,22
36,41,20
37,43,21
37,43,36
37,42,34
37,41,25
37,43,23
37,43,32
38,43,41
38,42,42
38,43,38
38,44,44
38,43,27
39,43,45
39,43,21
39,45,27
39,45,48
39,45,32
39,45,44
40,45,35
40,46,28
40,46,39
40,44,28
40,45,24
40,45,40
41,46,20
41,47,30
41,46,20
41,45,47
42,48,25
42,46,25
42,47,34
42,48,37
42,46,43
42,48,40
43,48,28
43,49,47
43,47,46
43,49,45
43,47,23
44,48,36
44,50,24
44,49,42
44,48,46
45,50,45
45,49,26
45,49,21
45,50,35
46,50,37
46,52,28
46,52,45
46,51,28
47,53,25
47,51,24
47,53,20
47,52,44
48,54,38
48,54,20
48,53,33
48,54,45
48,54,23
49,53,34
49,54,47
49,53,49
49,55,34
